r_nrm, b_nrm, p_t_prior, pdf 0 weight, pdf 1 weight, pdf 2 weight, pdf 3 weight
0.319845, 0.209400, 0.726130, 255, 0, 0, 83
0.315808, 0.204962, 0.486724, 255, 0, 0, 92
0.311771, 0.200524, 0.278008, 255, 0, 85, 102
0.337920, 0.209255, 1.000000, 255, 0, 0, 64
0.341921, 0.213726, 0.923110, 255, 0, 0, 64
0.345922, 0.218197, 0.726130, 255, 0, 0, 64
0.349924, 0.222668, 0.486724, 255, 0, 0, 64
0.353925, 0.227139, 0.278008, 255, 0, 0, 64
0.333919, 0.204784, 0.923110, 255, 0, 0, 64
0.329918, 0.200313, 0.726130, 255, 0, 0, 64
0.325917, 0.195841, 0.486724, 255, 0, 0, 64
0.321915, 0.191370, 0.278008, 255, 0, 0, 73
0.347920, 0.200379, 1.000000, 255, 0, 0, 64
0.351884, 0.204883, 0.923110, 255, 0, 0, 64
0.355849, 0.209387, 0.726130, 255, 0, 0, 64
0.359813, 0.213891, 0.486724, 255, 0, 0, 64
0.363777, 0.218395, 0.278008, 255, 0, 0, 64
0.343956, 0.195875, 0.923110, 255, 0, 0, 64
0.339992, 0.191372, 0.726130, 255, 0, 0, 64
0.336027, 0.186868, 0.486724, 255, 0, 0, 64
0.332063, 0.182364, 0.278008, 255, 0, 0, 64
0.357920, 0.191651, 1.000000, 255, 0, 0, 64
0.361847, 0.196188, 0.923110, 255, 0, 0, 64
0.365773, 0.200725, 0.726130, 255, 0, 0, 64
0.369700, 0.205261, 0.486724, 255, 0, 0, 64
0.373626, 0.209798, 0.278008, 255, 0, 0, 64
0.353994, 0.187114, 0.923110, 255, 0, 0, 64
0.350067, 0.182577, 0.726130, 255, 0, 0, 64
0.346141, 0.178040, 0.486724, 255, 0, 0, 64
0.342214, 0.173504, 0.278008, 255, 0, 0, 64
0.367920, 0.183070, 1.000000, 255, 0, 0, 64
0.371808, 0.187640, 0.923110, 255, 0, 0, 64
0.375696, 0.192210, 0.726130, 255, 0, 0, 64
0.379584, 0.196780, 0.486724, 255, 0, 0, 64
0.383472, 0.201350, 0.278008, 255, 0, 0, 64
0.364032, 0.178500, 0.923110, 255, 0, 0, 64
0.360144, 0.173930, 0.726130, 255, 0, 0, 64
0.356256, 0.169360, 0.486724, 255, 0, 0, 64
0.352369, 0.164790, 0.278008, 255, 0, 0, 64
0.377920, 0.174636, 1.000000, 255, 0, 0, 64
0.381769, 0.179239, 0.923110, 255, 0, 0, 64
0.385617, 0.183842, 0.726130, 255, 0, 0, 64
0.389465, 0.188446, 0.486724, 255, 0, 0, 64
0.393314, 0.193049, 0.278008, 255, 0, 0, 64
0.374072, 0.170033, 0.923110, 255, 0, 0, 64
0.370223, 0.165430, 0.726130, 255, 0, 0, 64
0.366375, 0.160826, 0.486724, 255, 0, 0, 64
0.362526, 0.156223, 0.278008, 255, 0, 0, 64
0.387920, 0.166349, 1.000000, 255, 0, 0, 64
0.391728, 0.170986, 0.923110, 255, 0, 0, 64
0.395536, 0.175622, 0.726130, 255, 0, 0, 64
0.399344, 0.180259, 0.486724, 255, 0, 0, 64
0.403153, 0.184896, 0.278008, 255, 0, 0, 64
0.384112, 0.161713, 0.923110, 255, 0, 0, 64
0.380304, 0.157076, 0.726130, 255, 0, 0, 64
0.376496, 0.152439, 0.486724, 255, 0, 0, 64
0.372688, 0.147803, 0.278008, 255, 0, 0, 64
0.397920, 0.158210, 1.000000, 255, 0, 0, 64
0.401687, 0.162880, 0.923110, 255, 0, 0, 64
0.405454, 0.167550, 0.726130, 255, 0, 0, 64
0.409221, 0.172220, 0.486724, 255, 0, 0, 64
0.412988, 0.176890, 0.278008, 255, 0, 0, 64
